StockTicker,SecurityName
AMD,Advanced Micro Devices Inc
ANAB,AnaptysBio Inc
ARM,ARM Holdings PLC
AROC,Archrock Inc
ASML,ASML Holding NV
BWXT,BWX Technologies Inc
CM,Canadian Imperial Bank of Commerce
CNR,Core Natural Resources Inc
CW,Curtiss-Wright Corp
DGII,Digi International Inc
ECG,Everus Construction Group Inc
ECO,Okeanis Eco Tankers Corp
ENSG,Ensign Group Inc/The
FIVE,Five Below Inc
FIX,Comfort Systems USA Inc
FN,Fabrinet
GCT,GigaCloud Technology Inc
HUBB,Hubbell Inc
HUT,HUT 8 CORP
HWM,Howmet Aerospace Inc
ISSC,Innovative Solutions and Support Inc
ITT,ITT Inc
KNSA,Kiniksa Pharmaceuticals International Plc
KRMN,Karman Holdings Inc
LB,Landbridge Co LLC
LITE,Lumentum Holdings Inc
LSCC,Lattice Semiconductor Corp
MOD,Modine Manufacturing Co
MRVL,MARVELL TECHNOLOGY INC
MTSI,MACOM Technology Solutions Holdings Inc
MTZ,MasTec Inc
NET,Cloudflare Inc
NVMI,Nova Ltd
NXT,Nextpower Inc
NYT,New York Times Co/The
OSW,OneSpaWorld Holdings Ltd
PWR,Quanta Services Inc
ROST,Ross Stores Inc
RSI,Rush Street Interactive Inc
SBS,CIA SANEAMENTO BASICO SPONSORED ADR
SEI,Solaris Energy Infrastructure Inc
SII,Sprott Inc
STRL,Sterling Infrastructure Inc
TSEM,Tower Semiconductor Ltd
UI,Ubiquiti Inc
VG,Venture Global Inc
VIST,Vista Energy SAB de CV
VNOM,Viper Energy Inc
VRT,Vertiv Holdings Co
WWD,Woodward Inc
